symbol,proposed_action,exit_score,days_held,reason,evidence,replacement
PLTR,BUY,0,0,"Fresh signal - Rank #2, Strong Buy","bullish (X mention volume +150% vs 30d avg, shift to positive retail sentiment on AI deals)",
HOOD,BUY,0,0,"Fresh signal - Rank #3, Buy",neutral (limited real-time visibility; no current X sentiment data provided to assess shifts),
MPWR,BUY,0,0,"Fresh signal - Rank #4, Buy",neutral (limited real-time visibility; no recent X sentiment shifts observable without current data),
KLAC,BUY,0,0,"Fresh signal - Rank #6, Buy",neutral (limited real-time visibility; no provided StockTwits or X data to assess mention volume or tone shifts),
NEM,BUY,0,0,"Fresh signal - Rank #7, Buy",neutral (limited real-time visibility; no recent X mention volume spikes or sentiment shifts observable),
AMAT,BUY,0,0,"Fresh signal - Rank #7, Buy","neutral (limited real-time visibility, no recent X or StockTwits sentiment data provided to detect shifts)",
APP,BUY,0,0,"Fresh signal - Rank #7, Buy",neutral (limited real-time visibility; no current X mention volume or sentiment shift data provided),
LRCX,BUY,0,0,"Fresh signal - Rank #8, Buy",neutral (limited real-time visibility; no recent X sentiment data provided to detect shifts),
CSX,BUY,0,0,"Fresh signal - Rank #9, Buy",neutral (limited real-time visibility; no recent X mention volume spikes or sentiment shifts observable without current data),
EL,BUY,0,0,"Fresh signal - Rank #12, Hold",neutral (limited real-time visibility; no clear X mention volume shifts or sentiment patterns observable),
FCX,BUY,0,0,"Fresh signal - Rank #12, Hold",neutral (limited real-time visibility; no provided X or StockTwits data for sentiment shifts),
STX,BUY,0,0,"Fresh signal - Rank #14, Hold",neutral (limited real-time visibility; no recent X mention volume spikes or sentiment shifts observable),
AMD,BUY,0,0,"Fresh signal - Rank #14, Hold",neutral (limited real-time visibility; no current StockTwits or X sentiment data provided for analysis),
DVN,BUY,0,0,"Fresh signal - Rank #15, Hold",neutral (limited real-time visibility; no observable X sentiment shifts or mention volume data provided),
UAL,BUY,0,0,"Fresh signal - Rank #16, Hold",neutral (limited real-time visibility; no clear X mention volume shifts or sentiment patterns observable),
